     1	de	9999518 	 6554555 
     2	la	6277560 	 4114859 
     3	que 	4681839 	 3068885 
     4	el	4569652 	 2995348 
     5	en	4234281 	 2775516 
     6	y	4180279 	 2740119 
     7	a	3260939 	 2137503 
     8	los	2618657 	 1716495 
     9	se	2022514 	 1325731 
    10	del	1857225 	 1217387 
    11	las	1686741 	 1105637 
    12	un	1659827 	 1087995 
    13	por	1561904 	 1023807 
    14	con 	1481607 	  971174
    15	no	1465503 	  960618
    16	una 	1347603 	  883336
    17	su	1103617 	  723406
    18	para	1062152 	  696226
    19	es	1019669 	  668379
    20	al	  951054	  623403
    21	lo	  866955	  568277
    22	como 	  773465	  506996
    23	más 	  661696	  433733
    24	o	  542284	  355460
    25	pero	  450512	  295304
    26	sus 	  449870	  294884
    27	le	  413241	  270874
    28	ha	  380339	  249307
    29	me 	  374368	  245393
    30	si	  327480	  214658
    31	sin	  298383	  195586
    32	sobre	  289704	  189897
    33	este	  285461	  187116
    34	ya	  274177	  179719
    35	entre	  267493	  175338
    36	cuando 	  257272	  168638
    37	todo	  247340	  162128
    38	esta	  238841	  156557
    39	ser	  232924	  152678
    40	son 	  232415	  152345
    41	dos 	  228439	  149738
    42	también 	  227411	  149064
    43	fue	  223791	  146692
    44	había	  223430	  146455
    45	era	  219933	  144163
    46	muy 	  208540	  136695
    47	años 	  203027	  133081
    48	hasta	  202935	  133021
    49	desde 	  198647	  130210
    50	está	  194168	  127274
    51	mi	  186360	  122156
    52	porque 	  185700	  121723
    53	qué 	  184956	  121236
    54	sólo	  170552	  111794
    55	han 	  169718	  111247
    56	yo	  167684	  109914
    57	hay 	  164940	  108116
    58	vez	  163538	  107197
    59	puede 	  161219	  105676
    60	todos	  158168	  103677
    61	así	  155645	  102023
    62	nos 	  154412	  101215
    63	ni	  153451	  100585
    64	parte	  148750	   97503
    65	tiene	  147274	   96536
    66	él	  139080	   91165
    67	uno 	  136020	   89159
    68	donde 	  132077	   86574
    69	bien	  130957	   85840
    70	tiempo 	  130896	   85800
    71	mismo  	  130746	   85702
    72	ese 	  127976	   83886
    73	ahora	  125661	   82369
    74	cada 	  124558	   81646
    75	e	  123729	   81102
    76	vida	  123491	   80946
    77	otro	  121983	   79958
    78	después 	  121746	   79802
    79	te	  120052	   78692
    80	otros	  119500	   78330
    81	aunque 	  115556	   75745
    82	esa 	  115377	   75628
    83	eso 	  114523	   75068
    84	hace 	  114507	   75057
    85	otra	  113982	   74713
    86	gobierno	  113011	   74077
    87	tan	  112471	   73723
    88	durante	  112020	   73427
    89	siempre 	  111557	   73124
    90	día	  110921	   72707
    91	tanto	  110679	   72548
    92	ella	  110620	   72509
    93	tres	  109542	   71803
    94	sí	  108631	   71206
    95	dijo	  108471	   71101
    96	sido	  107352	   70367
